artifact_path,source_branch,source_sha16,sample_id,raw_tokens,state_tokens,compression_ratio,savings_tokens,state_type
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,8626854,4699,387,0.9176,4312,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,5042916,10662,640,0.94,10022,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,352084,3933,421,0.893,3512,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,230107,7059,522,0.9261,6537,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,51542381,5279,425,0.9195,4854,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,14179,9788,695,0.929,9093,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,6396868,5160,455,0.9118,4705,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,64269620,1449,317,0.7812,1132,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,57174969,4669,413,0.9115,4256,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_v1.jsonl,desi-wikipedia-epistemic-compression-probe,18228e3b7b4a0a52,630637,2027,369,0.818,1658,wiki_compact_state_v1
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,8626854,4699,298,0.9366,4401,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,5042916,10662,725,0.932,9937,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,352084,3933,534,0.8642,3399,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,230107,7059,549,0.9222,6510,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,51542381,5279,492,0.9068,4787,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,14179,9788,1248,0.8725,8540,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,6396868,5160,361,0.93,4799,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,64269620,1449,326,0.775,1123,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,57174969,4669,340,0.9272,4329,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual.jsonl,desi-wikipedia-dual-layer-probe,86cbe317fb407021,630637,2027,354,0.8254,1673,wiki_dual_layer_anchors
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,11929739,4973,1209,0.7569,3764,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,4926798,3716,1210,0.6744,2506,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,367085,7258,1888,0.7399,5370,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,268988,10962,3255,0.7031,7707,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,21406027,3064,801,0.7386,2263,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,541433,11322,3101,0.7261,8221,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,29686197,7279,3037,0.5828,4242,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,2316836,3787,1138,0.6995,2649,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,9930232,4368,1575,0.6394,2793,wiki_dual_layer_v2
claude_layer_probe/data_inventory/wikipedia_dual_v2.jsonl,desi-wikipedia-dual-layer-v2,2afddc719c57ca05,46613571,4192,1198,0.7142,2994,wiki_dual_layer_v2
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,00086087f846,14132,326,0.9769,13806,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,00874ae907dd,12166,298,0.9755,11868,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,008bce886490,1772,87,0.9509,1685,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,00bcc1c05c9b,6228,305,0.951,5923,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,016831a36af4,7821,336,0.957,7485,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,017bdc0759ae,1504,85,0.9435,1419,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,01b585491e32,3185,85,0.9733,3100,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,021a77f409cd,2141,85,0.9603,2056,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,0275871ceaf9,1318,85,0.9355,1233,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,0280760d26c6,1865,85,0.9544,1780,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,02d372563238,6324,313,0.9505,6011,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,031c732eb349,9472,353,0.9627,9119,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,033aa064f026,6610,336,0.9492,6274,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,035bf6b70738,14556,364,0.975,14192,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,035cb8471e2b,2519,85,0.9663,2434,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,038fe9e10a2c,7136,313,0.9561,6823,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,03ef21293b12,3254,85,0.9739,3169,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,04056ad03efb,8030,372,0.9537,7658,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,04482883cf39,14015,278,0.9802,13737,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,045b69c33656,3509,85,0.9758,3424,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,049a1b5a61a1,8185,323,0.9605,7862,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,049af95b0809,8564,351,0.959,8213,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,04b307c9d314,2074,87,0.9581,1987,driftbench_state_summary
claude_layer_probe/data_inventory/driftbench_compression.jsonl,desi-context-compression-demo,c2be7e1860f0676b,04b61be763cf,9792,308,0.9685,9484,driftbench_state_summary
